2023-04-23 20:47:08.487 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 20:47:08.525 [main] INFO  com.litao.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 14260 (D:\WEBIDEA\admin-template\admin-server\target\classes started by Acer in D:\WEBIDEA\admin-template)
2023-04-23 20:47:08.526 [main] INFO  com.litao.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 20:47:09.233 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 20:47:09.235 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 20:47:09.261 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2023-04-23 20:47:09.851 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 20:47:09.858 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 20:47:09.859 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 20:47:09.859 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 20:47:09.945 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 20:47:09.945 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1383 ms
2023-04-23 20:47:11.499 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@54caeadc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@61d7bb61, org.springframework.security.web.context.SecurityContextHolderFilter@740ee00f, org.springframework.security.web.header.HeaderWriterFilter@2d8087da, org.springframework.security.web.authentication.logout.LogoutFilter@6d4c18b8, com.litao.security.filter.AuthenticationTokenFilter@3b5da0b0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@647af13d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2aac6fa7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@33f81280, org.springframework.security.web.session.SessionManagementFilter@7178d811, org.springframework.security.web.access.ExceptionTranslationFilter@4a5d5b38, org.springframework.security.web.access.intercept.AuthorizationFilter@7f64bd7]
2023-04-23 20:47:11.816 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 20:47:11.836 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 20:47:11.845 [main] INFO  com.litao.ServerApplication - Started ServerApplication in 3.824 seconds (process running for 4.945)
2023-04-23 20:47:27.770 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 20:47:27.771 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 20:47:27.772 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-23 20:48:29.137 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 20:48:29.179 [main] INFO  com.litao.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 13984 (D:\WEBIDEA\admin-template\admin-server\target\classes started by Acer in D:\WEBIDEA\admin-template)
2023-04-23 20:48:29.181 [main] INFO  com.litao.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 20:48:29.927 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 20:48:29.929 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 20:48:29.956 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2023-04-23 20:48:30.561 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 20:48:30.568 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 20:48:30.568 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 20:48:30.569 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 20:48:30.649 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 20:48:30.649 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1422 ms
2023-04-23 20:48:32.182 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@61d7bb61, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@33f81280, org.springframework.security.web.context.SecurityContextHolderFilter@430106cf, org.springframework.security.web.header.HeaderWriterFilter@4f7ef948, org.springframework.security.web.authentication.logout.LogoutFilter@663622b1, com.litao.security.filter.AuthenticationTokenFilter@ae3c140, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2aac6fa7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29a1ec65, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3991fe6d, org.springframework.security.web.session.SessionManagementFilter@2e013ba1, org.springframework.security.web.access.ExceptionTranslationFilter@7a47f0be, org.springframework.security.web.access.intercept.AuthorizationFilter@1c79d093]
